,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
3150,-7,-7,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3220,-9,-8,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3280,-11,-9,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3330,-7,-8,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3390,-3,-10,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3450,-2,-11,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3510,0,-12,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3560,3,-13,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3630,5,-12,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3680,5,-12,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3730,5,-12,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3800,6,-14,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3860,5,-14,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3920,3,-16,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
3980,0,-16,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
4040,-2,-16,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
4100,-2,-16,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
4160,-2,-16,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
4220,-2,-17,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  145, 74,   95,+182,N 33:26.6137,W111:35.4159,19:21:02,
4280,-1,-18,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  201, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4340,-1,-19,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4400,1,-19,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4470,3,-19,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4530,2,-20,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4600,0,-21,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4650,1,-22,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4710,2,-23,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4770,3,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4830,3,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4910,2,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
4970,1,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
5030,0,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
